id,headline,summary,category
1,"La Banque Centrale annonce une hausse inattendue des taux d'intérêt","Cette décision vise à freiner l'inflation galopante qui touche les biens de consommation courante depuis plusieurs mois.",
2,"Le nouveau smartphone pliable de la marque X bat des records de précommandes","Doté d'un écran OLED révolutionnaire et d'une autonomie doublée, ce nouveau modèle attire les foules malgré son prix élevé.",
3,"Victoire écrasante de l'équipe nationale en finale de la coupe du monde","Le capitaine a soulevé le trophée après un match intense qui s'est terminé par un score de 3 à 0 contre leurs rivaux historiques.",
4,"Découverte d'une nouvelle exoplanète potentiellement habitable","Les astronomes ont identifié une planète rocheuse située dans la zone habitable de son étoile, à seulement 40 années-lumière de la Terre.",
5,"Le festival de Cannes dévoile sa sélection officielle pour cette année","De nombreux réalisateurs internationaux sont en lice pour la Palme d'Or, avec une forte présence de films indépendants.",
6,"Chute drastique des actions du géant de l'e-commerce suite à des résultats décevants","Les investisseurs s'inquiètent de la baisse de la demande mondiale et des problèmes liés à la chaîne d'approvisionnement.",
7,"Un nouveau traitement expérimental montre des résultats prometteurs contre la maladie d'Alzheimer","Les essais cliniques de phase 3 indiquent un ralentissement significatif du déclin cognitif chez les patients traités.",
8,"Le gouvernement vote une nouvelle loi sur la transition énergétique","L'objectif est de réduire les émissions de gaz à effet de serre de 40% d'ici 2030 en investissant massivement dans les énergies renouvelables.",
9,"Sortie mondiale du dernier roman fantastique de l'auteur à succès","Les fans ont fait la queue pendant des heures devant les librairies pour obtenir leur exemplaire de cette suite tant attendue.",
10,"Le champion olympique du 100m annonce sa retraite sportive","Après une carrière couronnée de succès et de nombreux records du monde, l'athlète a décidé de raccrocher les pointes."
