text,pair,source
"Le film était captivant du début à la fin.","Le livre est plus intéressant que le film.",cinema
"Le service client était très lent et inefficace.","Le service client a été rapide et efficace.",service
"Les prix ont augmenté de façon significative cette année.","Les prix sont restés stables cette année.",economie
"La nouvelle politique de l'entreprise a été bien accueillie.","La nouvelle politique de l'entreprise a été critiquée.",politique
"Les étudiants ont obtenu d'excellents résultats aux examens.","Les étudiants ont échoué aux examens.",education
"Le temps était magnifique pendant toutes les vacances.","Le temps était terrible pendant les vacances.",meteo
"Le restaurant propose une cuisine exceptionnelle et raffinée.","Le restaurant sert une nourriture médiocre.",gastronomie
"Les transports en commun sont très bien organisés dans cette ville.","Les transports en commun sont chaotiques dans cette ville.",transport
"L'équipe a remporté le championnat avec une grande avance.","L'équipe a perdu le championnat de justesse.",sport
"Les soins de santé se sont considérablement améliorés récemment.","Les soins de santé se sont dégradés récemment.",sante
